======================================================================================================================================================
**********         WAFER SUMMARY         **********
EQUIP_ID,TECH_ID,TEST_TYPE,PARD_ID,LOT_ID,WAFER_ID,LIMIT_FILE,TEST_START_TIME,TEST_FINISH_TIME,OPERATOR_ID,TOTAL_SITES,TOTAL_PARA,TOTAL_YIELD,WAFER_JUDGMENT,MES_STEP,TEST_PLAN,PC_ID,PCM_COUNT,CLEAN_COUNT,PRODUCT_ID,TEMPERATURE,LOT_START_TIME,LOT_END_TIME,RECIPE_ID
DESKTOP-KH72C30,TECH_ID,TEST_TYPE,PXW,PXW_SRAM_HALFMAP,24,LIMIT_FILE,2026-01-16 09:49:53,2026-01-16 16:26:15,wat,31,1321,TOTAL_YIELD,WAFER_JUDGMENT,MES_STEP,D:\GM_Workspace\PXW\testplan\SRAM_HALFMAP.tple,PXW,13144,CLEAN_COUNT,PXW,TEMPERATURE,2026-01-16 09:48:25,2026-01-16 16:26:15,SRAM_HALFMAP.tple,
======================================================================================================================================================
**********         WAFER RAW DATA         **********
MODULE,DEVICE,ITEM,OUTPUT,UNIT,SPEC._LOW,SPEC._HIGH,VALID_LOW,VALID_HIGH,AVERAGE,ST_DEVI,MAX,MIN,RANGE,Site_1_Value(-2 -3),Site_2_Value(0 -3),Site_3_Value(2 -3),Site_4_Value(3 -2),Site_5_Value(1 -2),Site_6_Value(-1 -2),Site_7_Value(-3 -2),Site_8_Value(-4 -1),Site_9_Value(-2 -1),Site_10_Value(0 -1),Site_11_Value(2 -1),Site_12_Value(4 -1),Site_13_Value(5 0),Site_14_Value(3 0),Site_15_Value(1 0),Site_16_Value(0 0),Site_17_Value(-1 0),Site_18_Value(-3 0),Site_19_Value(-5 0),Site_20_Value(-4 1),Site_21_Value(-2 1),Site_22_Value(0 1),Site_23_Value(2 1),Site_24_Value(4 1),Site_25_Value(3 2),Site_26_Value(1 2),Site_27_Value(-1 2),Site_28_Value(-3 2),Site_29_Value(-2 3),Site_30_Value(0 3),Site_31_Value(2 3),
SRAM26_01,COFFSET_HD_S010_HD_5PIN_WL_1MHZ_CAP,R[1723]_Coffset,R[1723]_Coffset,,-1e+32,1e+32,-1e+32,1e+32,9999,0,9999,9999,0,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,
SRAM26_01,COFFSET_HD_S010_HD_2PIN_WL_1MHZ_CAP,R[1724]_Coffset,R[1724]_Coffset,,-1e+32,1e+32,-1e+32,1e+32,9999,0,9999,9999,0,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,
SRAM26_01,COFFSET_HD_S010_HD_2PIN_BL_1MHZ_CAP,R[1725]_Coffset,R[1725]_Coffset,,-1e+32,1e+32,-1e+32,1e+32,9999,0,9999,9999,0,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,
SRAM26_01,COFFSET_HD_S010_HC_5PIN_WL_1MHZ_CAP,R[1726]_Coffset,R[1726]_Coffset,,-1e+32,1e+32,-1e+32,1e+32,9999,0,9999,9999,0,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,
SRAM26_01,COFFSET_HD_S010_HC_2PIN_WL_1MHZ_CAP,R[1727]_Coffset,R[1727]_Coffset,,-1e+32,1e+32,-1e+32,1e+32,9999,0,9999,9999,0,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,
SRAM26_01,COFFSET_HD_S010_HC_2PIN_BL_1MHZ_CAP,R[1728]_Coffset,R[1728]_Coffset,,-1e+32,1e+32,-1e+32,1e+32,9999,0,9999,9999,0,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,
SRAM26_02,COFFSET_HD_S011_DEHD_5PIN_WL_1MHZ_CAP,R[1729]_Coffset,R[1729]_Coffset,,-1e+32,1e+32,-1e+32,1e+32,9999,0,9999,9999,0,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,
SRAM26_02,COFFSET_HD_S011_DEHD_2PIN_WL_1MHZ_CAP,R[1730]_Coffset,R[1730]_Coffset,,-1e+32,1e+32,-1e+32,1e+32,9999,0,9999,9999,0,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,
SRAM26_02,COFFSET_HD_S011_DEHD_2PIN_BL_1MHZ_CAP,R[1731]_Coffset,R[1731]_Coffset,,-1e+32,1e+32,-1e+32,1e+32,9999,0,9999,9999,0,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,
SRAM26_02,COFFSET_HD_S011_DEHC_5PIN_WL_1MHZ_CAP,R[1732]_Coffset,R[1732]_Coffset,,-1e+32,1e+32,-1e+32,1e+32,9999,0,9999,9999,0,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,
